Product_Collection,Vertical_Segment,Processor_Number,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,,,,,,
Intel Atom Processor C Series,Server,C2350,$43.00 ,2,2,1.70 GHz,2.00 GHz,1 MB,,6 W,No,Yes,16 GB,DDR3/DDR3L 1333,1,10.7 GB/s,Yes,2,x1,x2,x4,4,98Â°C ,No,Yes,,64-bit,,,,,,,,,
Intel Atom Processor C Series,Server,C2530,$70.00 ,4,4,1.70 GHz,2.40 GHz,2 MB,,9 W,No,Yes,32 GB,DDR3/DDR3L 1333,2,21.3 GB/s,Yes,2,x1,x2,x4,x8,8,97Â°C,No,Yes,,64-bit,,,,,,,,
Intel Atom Processor C Series,Server,C2550,$86.00 ,4,4,2.40 GHz,2.60 GHz,2 MB,,14 W,No,Yes,64 GB,DDR3/DDR3L 1600,2,25.6 GB/s,Yes,2,x1,x2,x4,x8,x16,16,96Â°C ,No,Yes,,64-bit,,,,,,,
Intel Atom Processor C Series,Server,C2730,$150.00 ,8,8,1.70 GHz,2.40 GHz,4 MB,,12 W,No,Yes,32 GB,DDR3/DDR3L 1600,2,25.6 GB/s,Yes,2,x1,x2,x4,x8,8,97Â°C,No,Yes,,64-bit,,,,,,,,
Intel Atom Processor C Series,Server,C2750,$171.00 ,8,8,2.40 GHz,2.60 GHz,4 MB,,20 W,No,Yes,64 GB,DDR3/DDR3L 1600,2,25.6 GB/s,Yes,2,x1,x2,x4,x8,x16,16,97Â°C,No,Yes,,64-bit,,,,,,,
Intel Atom Processor C Series,Server,C3958,$449.00 ,16,16,2.00 GHz,2.00 GHz,16 MB,,31 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,3,x2,x4,x8,16,83Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3955,$434.00 ,16,16,2.10 GHz,2.40 GHz,16 MB,,32 W,No,Yes,256 GB,DDR4: 2400,2,,Yes,3,x2,x4,x8,16,78Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3950,$389.00 ,16,16,1.70 GHz,2.20 GHz,16 MB,,24 W,No,Yes,256 GB,DDR4: 2400,2,,Yes,3,x2,x4,x8,16,78Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3830,$289.00 ,12,12,1.90 GHz,2.30 GHz,12 MB,,21.5 W,No,Yes,256 GB,DDR4: 2133,2,,Yes,3,x2,x4,x8,12,85Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3858,$332.00 ,12,12,2.00 GHz,2.00 GHz,12 MB,,25 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,3,x2,x4,x8,16,83Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3850,$323.00 ,12,12,2.10 GHz,2.40 GHz,12 MB,,25 W,No,Yes,256 GB,DDR4: 2400,2,,Yes,3,x2,x4,x8,16,78Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3808,$369.00 ,12,12,2.00 GHz,2.00 GHz,12 MB,,25 W,Yes,Yes,256 GB,DDR4: 2133,2,,Yes,3,x2,x4,x8,16,86Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3758,$193.00 ,8,8,2.20 GHz,2.20 GHz,16 MB,,25 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,3,x2,x4,x8,16,82Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3750,$171.00 ,8,8,2.20 GHz,2.40 GHz,16 MB,,21 W,No,Yes,256 GB,DDR4: 2400,2,,Yes,3,x2,x4,x8,12,84Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3708,$209.00 ,8,8,1.70 GHz,1.70 GHz,16 MB,,17 W,Yes,Yes,256 GB,DDR4: 2133,2,,Yes,3,x2,x4,x8,16,85Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3558,$86.00 ,4,4,2.20 GHz,2.20 GHz,8 MB,,16 W,Yes,Yes,256 GB,DDR4: 2133,2,,Yes,3,x2,x4,x8,12,83Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3538,$75.00 ,4,4,2.10 GHz,2.10 GHz,8 MB,,15 W,Yes,Yes,256 GB,DDR4: 2133,2,,Yes,3,x2,x4,x8,12,87Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3508,$86.00 ,4,4,1.60 GHz,1.60 GHz,8 MB,,11.5 W,Yes,Yes,256 GB,DDR4: 1866,2,,Yes,3,x2,x4,x8,8,90Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3338,$27.00 ,2,2,1.50 GHz,2.20 GHz,4 MB,,9 W,Yes,Yes,128 GB,DDR4: 1866,1,,Yes,3,x2,x4,x8,10,89Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,
Intel Atom Processor C Series,Server,C3308,$32.00 ,2,2,1.60 GHz,2.10 GHz,4 MB,,9.5 W,Yes,Yes,128 GB,DDR4: 1866,1,,Yes,3,x2,x4,6,89Â°C,100Â°C,No,Yes,,64-bit,,,,No,Yes,,,,
Intel Atom Processor S Series,Server,S1269,$80.00 ,2,4,1.60 GHz,,1 MB,,11.7 W,Yes,Yes,8 GB,DDR3 1333,1,,Yes,2,,32,,Yes,Yes,,64-bit,,,,,,,,,,,
Intel Atom Processor S Series,Server,S1279,$103.00 ,2,4,1.60 GHz,,1 MB,,13.1 W,Yes,Yes,8 GB,DDR3 1333,1,,Yes,2,,40,,Yes,Yes,,64-bit,,,,,,,,,,,
Intel Atom Processor S Series,Server,S1289,$120.00 ,2,4,2.00 GHz,,1 MB,,14.1 W,Yes,Yes,8 GB,DDR3 1333,1,,Yes,2,,40,,Yes,Yes,,64-bit,,,,,,,,,,,
Intel Itanium Processor 9700 Series,Server,E3-1220V3,$193.00 - $203.00,4,4,3.10 GHz,3.50 GHz,8 MB SmartCache,5 GT/s DMI,80 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,No,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Itanium Processor 9700 Series,Server,E3-1220V5,$193.00 - $203.00,4,4,3.00 GHz,3.50 GHz,8 MB SmartCache,8 GT/s DMI3,80 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,No,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Itanium Processor 9700 Series,Server,E3-1220V6,$193.00 - $203.00,4,4,3.00 GHz,3.50 GHz,8 MB,8 GT/s DMI3,72 W,No,Yes,64 GB,DDR4-2400, DDR3L-1866,2,37.5 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,No,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Itanium Processor 9700 Series,Server,E5-2697V2,$2614.00 - $2618.00,12,24,2.70 GHz,3.50 GHz,30 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,86Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Pentium Processor D Series,Server,E5-2695V2,$2336.00 - $2340.00,12,24,2.40 GHz,3.20 GHz,30 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,81Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Pentium Processor D Series,Server,E5-1620V4,$294.00 - $297.00,4,8,3.50 GHz,3.80 GHz,10 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,69Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Pentium Processor D Series,Server,E5-1630V4,$406.00 ,4,8,3.70 GHz,4.00 GHz,10 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,69Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Pentium Processor D Series,Server,E5-1650V4,$617.00 - $621.00,6,12,3.60 GHz,4.00 GHz,15 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,69Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Pentium Processor D Series,Server,E5-1660V4,$1,113,8,16,3.20 GHz,3.80 GHz,20 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,70Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Phi x200 Product Family,Server,E5-1680V4,$1,723,8,16,3.40 GHz,4.00 GHz,20 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,70Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Phi x200 Product Family,Server,E5-2603V4,$213.00 ,6,6,1.70 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,No,Yes,1.54 TB,DDR4 1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,73Â°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Phi x200 Product Family,Server,E5-2609V4,$306.00 - $310.00,8,8,1.70 GHz,,20 MB SmartCache,6.4 GT/s QPI,85 W,Yes,Yes,1.54 TB,DDR4 1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,74Â°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Phi x200 Product Family,Server,E5-2620V4,$417.00 - $422.00,8,16,2.10 GHz,3.00 GHz,20 MB SmartCache,8 GT/s QPI,85 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,3,x4, x8, x16,40,74Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Phi x200 Product Family,Server,E5-2623V4,$444.00 ,4,8,2.60 GHz,3.20 GHz,10 MB SmartCache,8 GT/s QPI,85 W,No,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,3,x4, x8, x16,40,73Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Phi x200 Product Family,Server,E5-2630V4,$667.00 - $671.00,10,20,2.20 GHz,3.10 GHz,25 MB SmartCache,8 GT/s QPI,85 W,No,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,3,x4, x8, x16,40,74Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Phi x200 Product Family,Server,E5-2637V4,$996.00 ,4,8,3.50 GHz,3.70 GHz,15 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,75Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor D Family,Server,E5-2640V4,$939.00 ,10,20,2.40 GHz,3.40 GHz,25 MB SmartCache,8 GT/s QPI,90 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,3,x4, x8, x16,40,76Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor D Family,Server,E5-2643V4,$1,552,6,12,3.40 GHz,3.70 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,75Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-2650V4,$1166.00 - $1171.00,12,24,2.20 GHz,2.90 GHz,30 MB SmartCache,9.6 GT/s QPI,105 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,80Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor D Family,Server,E5-2660V4,$1,445,14,28,2.00 GHz,3.20 GHz,35 MB,9.6 GT/s QPI,105 W,No,Yes,,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,79Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-2667V4,$2,57,8,16,3.20 GHz,3.60 GHz,25 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,78Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-2680V4,$1745.00 - $1749.00,14,28,2.40 GHz,3.30 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,86Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor D Family,Server,E5-2683V4,$1,846,16,32,2.10 GHz,3.00 GHz,40 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,84Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-2690V4,$2090.00 - $2094.00,14,28,2.60 GHz,3.50 GHz,35 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,89Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor D Family,Server,E5-2695V4,$2424.00 - $2428.00,18,36,2.10 GHz,3.30 GHz,45 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,84Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor D Family,Server,E5-2697V4,$2,702,18,36,2.30 GHz,3.60 GHz,45 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,79Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-2698V4,$3,226,20,40,2.20 GHz,3.60 GHz,50 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,90Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-2699V4,$4,115,22,44,2.20 GHz,3.60 GHz,55 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,3,x4, x8, x16,40,79Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4610V4,$1,219,10,20,1.80 GHz,1.80 GHz,25 MB,6.4 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,79,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4620V4,$1,668,10,20,2.10 GHz,2.60 GHz,25 MB,8 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,79,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4627V4,$2,225,10,10,2.60 GHz,3.20 GHz,25 MB,8 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,82,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4640V4,$2,837,12,24,2.10 GHz,2.60 GHz,30 MB,8 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,80,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4650V4,$3,838,14,28,2.20 GHz,2.80 GHz,35 MB,9.6 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,80,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor D Family,Server,E5-4655V4,$4,616,8,16,2.50 GHz,3.20 GHz,30 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,82,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v2 Family,Server,E5-4660V4,$4,727,16,32,2.20 GHz,3.00 GHz,40 MB,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,83,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v2 Family,Server,E5-4667V4,$5,729,18,36,2.20 GHz,3.00 GHz,45 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,87,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v3 Family,Server,E5-4669V4,$7,7,22,44,2.20 GHz,3.00 GHz,55 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,90,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2603V3,$213.00 - $217.00,6,6,1.60 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,No,Yes,768 GB,DDR4 1600,4,51 GB/s,Yes,3,x4, x8, x16,40,72.8Â°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2609V3,$306.00 ,6,6,1.90 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,Yes,Yes,768 GB,DDR4 1600,4,51 GB/s,Yes,3,x4, x8, x16,40,70.9Â°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
