Product_Collection,Vertical_Segment,Processor_Number,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,,,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2620V3,$417.00 - $422.00,6,12,2.40 GHz,3.20 GHz,15 MB SmartCache,8 GT/s QPI,85 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,72.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2623V3,$444.00 ,4,8,3.00 GHz,3.50 GHz,10 MB SmartCache,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,80.2Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2630V3,$667.00 - $671.00,8,16,2.40 GHz,3.20 GHz,20 MB SmartCache,8 GT/s QPI,85 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,72.1Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2630LV3,$612.00 ,8,16,1.80 GHz,2.90 GHz,20 MB SmartCache,8 GT/s QPI,55 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,60.4Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2637V3,$996.00 ,4,8,3.50 GHz,3.70 GHz,15 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,76.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2640V3,$939.00 - $944.00,8,16,2.60 GHz,3.40 GHz,20 MB SmartCache,8 GT/s QPI,90 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,74.3Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2643V3,$1,552,6,12,3.40 GHz,3.70 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,77.3Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2650V3,$1166.00 - $1171.00,10,20,2.30 GHz,3.00 GHz,25 MB SmartCache,9.6 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,78.9Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2650LV3,$1,329,12,24,1.80 GHz,2.50 GHz,30 MB SmartCache,9.6 GT/s QPI,65 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,63.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2660V3,$1445.00 - $1449.00,10,20,2.60 GHz,3.30 GHz,25 MB SmartCache,9.6 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,79Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2667V3,$2,57,8,16,3.20 GHz,3.60 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,77.8Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v4 Family,Server,E5-2670V3,$1589.00 - $1593.00,12,24,2.30 GHz,3.10 GHz,30 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,84.5Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v4 Family,Server,E5-2680V3,$1745.00 - $1749.00,12,24,2.50 GHz,3.30 GHz,30 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,84.5Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v4 Family,Server,E5-2683V3,$1,846,14,28,2.00 GHz,3.00 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,82.5Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-4610V3,$1,219,10,20,1.70 GHz,1.70 GHz,25 MB,6.4 GT/s QPI,105 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,77.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-4620V3,$1,668,10,20,2.00 GHz,2.60 GHz,25 MB,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,3,x4, x8, x16,40,77.7Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-2687WV3,$2141.00 - $2145.00,10,20,3.10 GHz,3.50 GHz,25 MB SmartCache,9.6 GT/s QPI,160 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,74.7Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v5 Family,Server,E5-4627V3,$2,225,10,10,2.60 GHz,3.20 GHz,25 MB,8 GT/s QPI,135 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,3,x4, x8, x16,40,86.4Â°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-2690V3,$2090.00 - $2094.00,12,24,2.60 GHz,3.50 GHz,30 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,89.9Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v5 Family,Server,E5-4640V3,$2,859,12,24,1.90 GHz,2.60 GHz,30 MB,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,3,x4, x8, x16,40,77.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-1680V3,$1,723,8,16,3.20 GHz,3.80 GHz,20 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,66.26Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-2695V3,$2424.00 - $2428.00,14,28,2.30 GHz,3.30 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,82.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v5 Family,Server,E5-1660V3,$1,80,8,16,3.00 GHz,3.50 GHz,20 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,65.9Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-4650V3,$3,838,12,24,2.10 GHz,2.80 GHz,30 MB,9.6 GT/s QPI,105 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,3,x4, x8, x16,40,77.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-1650V3,$583.00 - $586.00,6,12,3.50 GHz,3.80 GHz,15 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,66.7Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v5 Family,Server,E5-2697V3,$2702.00 - $2706.00,14,28,2.60 GHz,3.60 GHz,35 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,76.7Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v5 Family,Server,E5-4655V3,$4,616,6,12,2.90 GHz,3.20 GHz,30 MB,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,84.4Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v5 Family,Server,E5-1630V3,$372.00 ,4,8,3.70 GHz,3.80 GHz,10 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,66.2Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v6 Family,Server,E5-4660V3,$4,727,14,28,2.10 GHz,2.90 GHz,35 MB,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,82.5Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v6 Family,Server,E5-1620V3,$294.00 - $297.00,4,8,3.50 GHz,3.60 GHz,10 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,66.2Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v6 Family,Server,E5-4667V3,$5,729,16,32,2.00 GHz,2.90 GHz,40 MB,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,3,x4, x8, x16,40,87.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v6 Family,Server,E5-4669V3,$7,7,18,36,2.10 GHz,2.90 GHz,45 MB,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,87.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v6 Family,Server,E5-2690V2,$2057.00 - $2061.00,10,20,3.00 GHz,3.60 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,88Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v6 Family,Server,E5-2680V2,$1723.00 - $1727.00,10,20,2.80 GHz,3.60 GHz,25 MB SmartCache,8 GT/s QPI,115 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,82Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v6 Family,Server,E5-2687WV2,$2108.00 - $2112.00,8,16,3.40 GHz,4.00 GHz,25 MB SmartCache,8 GT/s QPI,150 W,No,Yes,256 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,72Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v6 Family,Server,E5-2670V2,$1552.00 - $1556.00,10,20,2.50 GHz,3.30 GHz,25 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,82Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v6 Family,Server,E5-2667V2,$2,57,8,16,3.30 GHz,4.00 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,74Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 Family,Server,E5-2660V2,$1389.00 - $1393.00,10,20,2.20 GHz,3.00 GHz,25 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,75Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2650LV2,$1,219,10,20,1.70 GHz,2.10 GHz,25 MB SmartCache,7.2 GT/s QPI,70 W,No,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,3,x4, x8, x16,40,65Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2650V2,$1166.00 - $1171.00,8,16,2.60 GHz,3.40 GHz,20 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,75Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2470V2,$1,440,10,20,2.40 GHz,3.20 GHz,25 MB SmartCache,8 GT/s QPI,95 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,3,x4, x8, x16,24,80Â°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2450LV2,$1,219,10,20,1.70 GHz,2.10 GHz,25 MB SmartCache,7.2 GT/s QPI,60 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,3,x4, x8, x16,24,68Â°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2643V2,$1,552,6,12,3.50 GHz,3.80 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,74Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2450V2,$1,107,8,16,2.50 GHz,3.30 GHz,20 MB SmartCache,8 GT/s QPI,95 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,3,x4, x8, x16,24,80Â°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-4657LV2,$4,394,12,24,2.40 GHz,2.90 GHz,30 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,81Â°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2640V2,$885.00 - $889.00,8,16,2.00 GHz,2.50 GHz,20 MB SmartCache,7.2 GT/s QPI,95 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,3,x4, x8, x16,40,75Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2637V2,$996.00 ,4,8,3.50 GHz,3.80 GHz,15 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,76Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-4650V2,$3,616,10,20,2.40 GHz,2.90 GHz,25 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,75Â°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2440V2,$832.00 ,8,16,1.90 GHz,2.40 GHz,20 MB SmartCache,7.2 GT/s QPI,95 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,3,x4, x8, x16,24,80Â°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2630LV2,$612.00 ,6,12,2.40 GHz,2.80 GHz,15 MB SmartCache,7.2 GT/s QPI,60 W,No,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,3,x4, x8, x16,40,63Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2430LV2,$612.00 ,6,12,2.40 GHz,2.80 GHz,15 MB SmartCache,7.2 GT/s QPI,60 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,3,x4, x8, x16,24,69Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-4640V2,$2,725,10,20,2.20 GHz,2.70 GHz,20 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,75Â°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2630V2,$612.00 - $616.00,6,12,2.60 GHz,3.10 GHz,15 MB SmartCache,7.2 GT/s QPI,80 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,3,x4, x8, x16,40,71Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2430V2,$551.00 ,6,12,2.50 GHz,3.00 GHz,15 MB SmartCache,7.2 GT/s QPI,80 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,3,x4, x8, x16,24,76Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-4627V2,$2,108,8,8,3.30 GHz,3.60 GHz,16 MB SmartCache,7.2 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,3,x4, x8, x16,40,88Â°C,No,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2620V2,$406.00 - $410.00,6,12,2.10 GHz,2.60 GHz,15 MB SmartCache,7.2 GT/s QPI,80 W,No,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,3,x4, x8, x16,40,71Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v2 Family,Server,E5-2420V2,$406.00 ,6,12,2.20 GHz,2.70 GHz,15 MB SmartCache,7.2 GT/s QPI,80 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,3,x4, x8, x16,24,76Â°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes,,,,
